Trial,Item,SentenceBefore,SentenceAfter,IA_ID,Condition,List,Positive,Negative,Unrelated,Target,Comprehension,,,,,,,,,,,,,,
54,54,The psychologist says her patients sometimes identify their early memories in their sessions.,The psychologist says her patients sometimes compile their early memories in their sessions.,7,P/Neu,4,identify,.,.,compile,Does the psychologist say her patients sometimes repress their early memories?,,,,,,,,,,,,,,
55,55,"Usually, obstacles should never stagger a person using a blowtorch.","Usually, obstacles should never suspend a person using a blowtorch.",5,N/Neu,4,.,stagger,.,suspend,Should obstacles never deter a person using a blowtorch?,,,,,,,,,,,,,,
56,56,The people at the wedding somehow always mention the get-together.,The people at the wedding somehow always adjourn the get-together.,8,UnNeu/Neu,4,.,.,mention,adjourn,Do people at the wedding always celebrate the get-together?,,,,,,,,,,,,,,
57,57,As an antique dealer he had to often absolve certain high-end clientele.,As an antique dealer he had to often absolve certain high-end clientele.,9,Neu/Neu,4,.,.,.,absolve,Does an antique dealer often need to appraise certain high-end clientele?,,,,,,,,,,,,,,
58,58,"In Ohio the people designate the power of officers, often wanting something.","In Ohio the people overpower the power of officers, often wanting something.",5,P/Neu,4,designate,.,.,overpower,"In Ohio, do people respect the authority of officers?",,,,,,,,,,,,,,
59,59,The boy said grouping up could atrophy how he feels.,The boy said grouping up could dictate how he feels.,7,N/Neu,4,.,atrophy,.,dictate,Could grouping up change how the boy feels?,,,,,,,,,,,,,,
60,60,The man's ideas tended to generally dominate the discussion each week.,The man's ideas tended to generally overlook the discussion each week.,7,UnNeu/Neu,4,.,.,dominate,overlook,Do the man's ideas usually enhance the discussion each week?,,,,,,,,,,,,,,
61,61,She asked her patient why he felt the need to always comply in relationships.,She asked her patient why he felt the need to always comply in relationships.,12,Neu/Neu,4,.,.,.,comply,Does the patient feel the need to always dominate in relationships?,,,,,,,,,,,,,,
62,62,The leaders with opposing ideas decided they shouldn't sharpen their ideas yet.,The leaders with opposing ideas decided they shouldn't combine their ideas yet.,9,P/Neu,4,sharpen,.,.,combine,Have the leaders with opposing ideas agreed to merge their ideas?,,,,,,,,,,,,,,
63,63,Our volunteers will often initially deceive the animals they rescue from the wild.,Our volunteers will often initially migrate the animals they rescue from the wild.,6,N/Neu,4,.,deceive,.,migrate,Do volunteers often rehabilitate the animals they rescue from the wild?,,,,,,,,,,,,,,
64,64,"At the fair, the family should regroup themselves only temporarily to be safe.","At the fair, the family should abstain themselves only temporarily to be safe.",7,UnNeu/Neu,4,.,.,regroup,abstain,"At the fair, should the family limit their time spent to be safe?",,,,,,,,,,,,,,
65,65,"We will probably either divulge our feelings, or we will not.","We will probably either divulge our feelings, or we will not.",5,Neu/Neu,4,.,.,.,divulge,Will we express our feelings openly?,,,,,,,,,,,,,,
66,66,The officer wouldn't often reopen upon certain affairs that he didn't like.,The officer wouldn't often recoil upon certain affairs that he didn't like.,5,P/Neu,4,reopen,.,.,recoil,Does the officer often intervene in affairs he dislikes?,,,,,,,,,,,,,,
67,67,The teenagers decided they might flunk the information that they received.,The teenagers decided they might churn the information that they received.,6,N/Neu,4,.,flunk,.,churn,Might the teenagers ignore the information they received?,,,,,,,,,,,,,,
68,68,I tried very hard to simply concede the people to attain their loyalty.,I tried very hard to simply beseech the people to attain their loyalty.,7,UnNeu/Neu,4,.,.,concede,beseech,Did I manage to gain the loyalty of the people?,,,,,,,,,,,,,,
69,69,Matthew said in college he couldn't withdraw his previous decision.,Matthew said in college he couldn't withdraw his previous decision.,7,Neu/Neu,4,.,.,.,withdraw,Was Matthew able to justify his previous decision in college?,,,,,,,,,,,,,,
70,70,The goal of the signed agreement was to truly transform the old rules.,The goal of the signed agreement was to truly stipulate the old rules.,1,P/Neu,4,transform,.,.,stipulate,Was the goal of the signed agreement to uphold the old rules?,,,,,,,,,,,,,,
71,71,Our friend knew she couldn't disparage in public so she waited.,Our friend knew she couldn't calibrate in public so she waited.,6,N/Neu,4,.,disparage,.,calibrate,"Did our friend know she should not sing in public, so she waited?",,,,,,,,,,,,,,
72,72,The academic said it was a good idea to sometimes replicate work from class.,The academic said it was a good idea to sometimes disengage work from class.,11,UnNeu/Neu,4,.,.,replicate,disengage,Is it sometimes beneficial to ignore work from class according to the academic?,,,,,,,,,,,,,,
73,73,Because she was nervous she couldn't evade from them with much certainty.,Because she was nervous she couldn't evade from them with much certainty.,7,Neu/Neu,4,.,.,.,evade,"Because she was nervous, could she communicate with them with certainty?",,,,,,,,,,,,,,
74,74,Despite their best attempts they didn't reunite the evidence in the presentation.,Despite their best attempts they didn't magnify the evidence in the presentation.,7,P/Neu,4,reunite,.,.,magnify,"Despite their best attempts, did they highlight the evidence in the presentation?",,,,,,,,,,,,,,
75,75,Jeanine truly loved gossip and would often distort through drama.,Jeanine truly loved gossip and would often isolate through drama.,8,N/Neu,4,.,distort,.,isolate,Does Jeanine often instigate drama?,,,,,,,,,,,,,,
76,76,My dog will usually deter anything small and soft in its presence.,My dog will usually wield anything small and soft in its presence.,5,UnNeu/Neu,4,.,.,deter,wield,Will my dog usually ignore anything small and soft?,,,,,,,,,,,,,,
77,77,"When arguments come up, we always converge our feelings which helps us move forward.","When arguments come up, we always converge our feelings which helps us move forward.",7,Neu/Neu,4,.,.,.,converge,"Do we conceal our feelings during arguments, helping us move forward?",,,,,,,,,,,,,,
78,78,The campaign manager told the senator he couldn't publicly defend the policy.,The campaign manager told the senator he couldn't publicly govern the policy.,1,P/Neu,4,defend,.,.,govern,Could the campaign manager publicly endorse the policy?,,,,,,,,,,,,,,
79,79,"After falling down, the dancer will either ignore her dance or not.","After falling down, the dancer will either assume her dance or not.",8,N/Neu,4,.,ignore,.,assume,"After falling, might the dancer continue her dance?",,,,,,,,,,,,,,
80,80,Henry reminded us to try to never desist the expectations of our customers.,Henry reminded us to try to never preach the expectations of our customers.,8,UnNeu/Neu,4,.,.,desist,preach,Did Henry advise us to always meet the expectations of our customers?,,,,,,,,,,,,,,
81,81,The family reunion might postpone their closeness.,The family reunion might postpone their closeness.,5,Neu/Neu,4,.,.,.,postpone,Could the family reunion affect their closeness?,,,,,,,,,,,,,,
82,82,She was certain that her coworker could envision the new plan.,She was certain that her coworker could allocate the new plan.,8,P/Neu,4,envision,.,.,allocate,Was her coworker able to comprehend the new plan?,,,,,,,,,,,,,,
83,83,Artificial intelligence may partially overload employment for the American middle class.,Artificial intelligence may partially vanquish employment for the American middle class.,5,N/Neu,4,.,overload,.,vanquish,Will artificial intelligence completely replace employment for the American middle class?,,,,,,,,,,,,,,
84,84,Daniel thought they couldn't devise the plan until everyone was present.,Daniel thought they couldn't vacate the plan until everyone was present.,5,UnNeu/Neu,4,.,.,devise,vacate,Were they able to proceed with the plan before everyone was present?,,,,,,,,,,,,,,
85,85,The manager realized he wouldn't imply the beliefs of his employees.,The manager realized he wouldn't imply the beliefs of his employees.,6,Neu/Neu,4,.,.,.,imply,Would the manager adopt the beliefs of his employees?,,,,,,,,,,,,,,
86,86,He explained that he would probably motivate the business plan.,He explained that he would probably reiterate the business plan.,7,P/Neu,4,motivate,.,.,reiterate,Was he likely to abandon the business plan?,,,,,,,,,,,,,,
87,87,She told her assistant that he would never demolish without her supervision.,She told her assistant that he would never medicate without her supervision.,9,N/Neu,4,.,demolish,.,medicate,Was her assistant informed about needing supervision?,,,,,,,,,,,,,,
88,88,It is pretty common for some kids to sometimes implore other children at school.,It is pretty common for some kids to sometimes outrank other children at school.,1,UnNeu/Neu,4,.,.,implore,outrank,Is it common for some children to bully other children at school?,,,,,,,,,,,,,,
89,89,The union leader said that those on strike couldn't incite change without leaders.,The union leader said that those on strike couldn't incite change without leaders.,1,Neu/Neu,4,.,.,.,incite,Could those on strike effect change without leaders according to the union leader?,,,,,,,,,,,,,,
90,90,Our children tried to clearly initiate the rules at their after-school program.,Our children tried to clearly override the rules at their after-school program.,6,P/Neu,4,initiate,.,.,override,Were our children able to understand the rules at their after-school program?,,,,,,,,,,,,,,
91,91,Mary said her boss wanted her to partially sabotage her own efforts.,Mary said her boss wanted her to partially disperse her own efforts.,9,N/Neu,4,.,sabotage,.,disperse,Did Mary's boss ask her to minimize her efforts?,,,,,,,,,,,,,,
92,92,The man claimed she would truly mutter after the ceremony.,The man claimed she would truly depose after the ceremony.,7,UnNeu/Neu,4,.,.,mutter,depose,Did the man claim something?,,,,,,,,,,,,,,
93,93,They tried to simply summarize despite my advice.,They tried to simply summarize despite my advice.,5,Neu/Neu,4,.,.,.,summarize,Did they attempt to simplify the process despite my advice?,,,,,,,,,,,,,,
94,94,The woman soon learned that her professional success might thrive later in the year.,The woman soon learned that her professional success might hasten later in the year.,1,P/Neu,4,thrive,.,.,hasten,Might the woman's professional success increase later in the year?,,,,,,,,,,,,,,
95,95,The team knew they couldn't misfire the trophy without getting in trouble.,The team knew they couldn't recheck the trophy without getting in trouble.,6,N/Neu,4,.,misfire,.,recheck,Did the team know they would be penalized for taking the trophy?,,,,,,,,,,,,,,
96,96,We did our best to quickly conclude the service the very next morning.,We did our best to quickly denounce the service the very next morning.,7,UnNeu/Neu,4,.,.,conclude,denounce,Were we able to expedite the service the following morning?,,,,,,,,,,,,,,
97,97,The politician promised her political platform would topple current policies related to their cause.,The politician promised her political platform would topple current policies related to their cause.,8,Neu/Neu,4,.,.,.,topple,Would the politician's platform revise existing policies?,,,,,,,,,,,,,,
98,98,The main purpose of the meeting was to generally reinforce against the cumulative effects.,The main purpose of the meeting was to generally formulate against the cumulative effects.,1,P/Neu,4,reinforce,.,.,formulate,Was the meeting's main goal to advocate against the cumulative effects?,,,,,,,,,,,,,,
99,99,The boys shouldn't disagree just because they are told to.,The boys shouldn't restrain just because they are told to.,4,N/Neu,4,.,disagree,.,restrain,Should the boys act without questioning the instructions given to them?,,,,,,,,,,,,,,
100,100,The senior scientist said he couldn't perforate the sample without ruining the experiment.,The senior scientist said he couldn't dissipate the sample without ruining the experiment.,7,UnNeu/Neu,4,.,.,perforate,dissipate,Could the senior scientist alter the sample without compromising it?,,,,,,,,,,,,,,
101,101,The old lady would inflate every conversation in order to be listened to.,The old lady would inflate every conversation in order to be listened to.,5,Neu/Neu,4,.,.,.,inflate,Would the old lady dominate every conversation to ensure she was heard?,,,,,,,,,,,,,,
102,102,She tried to never freshen her own experience and opinions at a cost.,She tried to never unscrew her own experience and opinions at a cost.,5,P/Neu,4,freshen,.,.,unscrew,Did she manage to share her experience and opinions without repercussions?,,,,,,,,,,,,,,
103,103,Every summer the campers tried to totally spoil themselves until the end of camp.,Every summer the campers tried to totally mimic themselves until the end of camp.,8,N/Neu,4,.,spoil,.,mimic,Did the campers manage to isolate themselves completely each summer?,,,,,,,,,,,,,,
104,104,"When visiting the tidepools, the kids would often outgrow their route out of curiosity.","When visiting the tidepools, the kids would often retrace their route out of curiosity.",9,UnNeu/Neu,4,.,.,outgrow,retrace,"When visiting tidepools, did the kids stick to their planned route?",,,,,,,,,,,,,,
105,105,"At home, we sometimes entitle each other then talk about what we can do better.","At home, we sometimes entitle each other then talk about what we can do better.",5,Neu/Neu,4,.,.,.,entitle,Do we often encourage each other at home to improve ourselves?,,,,,,,,,,,,,,
106,106,The expert told the man he needed to clearly publish his opinions.,The expert told the man he needed to clearly defrost his opinions.,1,P/Neu,4,publish,.,.,defrost,Did the man need to articulate his opinions more clearly?,,,,,,,,,,,,,,
107,107,After school I typically displace toys that I no longer like.,After school I typically submerge toys that I no longer like.,5,N/Neu,4,.,displace,.,submerge,Do I usually keep toys that I no longer enjoy after school?,,,,,,,,,,,,,,
108,108,The mother asked her daughter to cautiously depict the flowers and give them away.,The mother asked her daughter to cautiously dawdle the flowers and give them away.,8,UnNeu/Neu,4,.,.,depict,dawdle,Was the daughter able to carefully distribute the flowers without issue?,,,,,,,,,,,,,,
109,109,"When upset, they often peddle to get to a place of happiness.","When upset, they often peddle to get to a place of happiness.",5,Neu/Neu,4,.,.,.,peddle,"When people are upset, do they rarely find ways to achieve happiness?",,,,,,,,,,,,,,
110,110,We don't normally bestow during our guests visit.,We don't normally squint during our guests visit.,4,P/Neu,4,bestow,.,.,squint,Is it unusual for us to make accommodations during our guests' visits?,,,,,,,,,,,,,,
111,111,There will always be another drone that is discussed on TV.,There will always be another rebel that is discussed on TV.,6,N/Neu,4,.,drone,.,rebel,Is there always a topic that gets discussed on TV?,,,,,,,,,,,,,,
112,112,I think I should stay away from every affidavit if possible.,I think I should stay away from every hierarchy if possible.,9,UnNeu/Neu,4,.,.,affidavit,hierarchy,Should I avoid every potential hazard if possible?,,,,,,,,,,,,,,
113,113,The woman seemed to know a lot about artillery and shared with the group.,The woman seemed to know a lot about artillery and shared with the group.,9,Neu/Neu,4,.,.,.,artillery,Did the woman possess extensive knowledge about the subject she discussed with the group?,,,,,,,,,,,,,,
114,114,The pamphlet was written from the perspective of a general relation and was terrible.,The pamphlet was written from the perspective of a general taxpayer and was terrible.,11,P/Neu,4,relation,.,.,taxpayer,Was the pamphlet written from an expert's perspective and well-received?,,,,,,,,,,,,,,
115,115,We tried to remember what we learned about dread management at the seminar.,We tried to remember what we learned about quote management at the seminar.,9,N/Neu,4,.,dread,.,quote,Did we successfully recall the management techniques from the seminar?,,,,,,,,,,,,,,
116,116,"In the attic, the children discovered a stash of hidden dossier photographs under newspapers.","In the attic, the children discovered a stash of hidden herring photographs under newspapers.",11,UnNeu/Neu,4,.,.,dossier,herring,"In the attic, did the children find a collection of openly displayed photographs?",,,,,,,,,,,,,,
117,117,The big book was all about clarinet experts and their history.,The big book was all about clarinet experts and their history.,7,Neu/Neu,4,.,.,.,clarinet,Was the big book focused on novices rather than experts in their field?,,,,,,,,,,,,,,
118,118,People often belittle how often one needs a special faucet to finish the job.,People often belittle how often one needs a special tassel to finish the job.,1,P/Neu,4,faucet,.,.,tassel,Is it common to require a special tool to complete tasks effectively?,,,,,,,,,,,,,,
119,119,The family set out automatic lights before another vagabond was to cause commotion.,The family set out automatic lights before another darkroom was to cause commotion.,9,N/Neu,4,.,vagabond,.,darkroom,Did the family prepare the automatic lights due to an expected calm evening?,,,,,,,,,,,,,,
120,120,"In the painting, the girl was standing next to the large sawmill looking small.","In the painting, the girl was standing next to the large rustler looking small.",12,UnNeu/Neu,4,.,.,sawmill,rustler,"In the painting, did the girl appear as large as the object next to her?",,,,,,,,,,,,,,
121,121,Their films always included an intense supplier scene at the very end.,Their films always included an intense supplier scene at the very end.,7,Neu/Neu,4,.,.,.,supplier,Did the films exclude any dramatic scenes at the end?,,,,,,,,,,,,,,
122,122,The very unusual getup is ridiculous and must get help soon.,The very unusual molar is ridiculous and must get help soon.,4,P/Neu,4,getup,.,.,molar,Is the unusual behavior considered normal and not in need of assistance?,,,,,,,,,,,,,,
123,123,I wonder how often a certain depravity is talked about in the office.,I wonder how often a certain checkbook is talked about in the office.,7,N/Neu,4,.,depravity,.,checkbook,Is a certain subject frequently discussed in the office?,,,,,,,,,,,,,,
124,124,Ben always thought pregnancy was possible.,Ben always thought awareness was possible.,4,UnNeu/Neu,4,.,.,pregnancy,awareness,Was Ben convinced that success was unlikely?,,,,,,,,,,,,,,
125,125,The film was about blizzard history in their country.,The film was about blizzard history in their country.,5,Neu/Neu,4,.,.,.,blizzard,Was the film a documentary about recent history in their country?,,,,,,,,,,,,,,
126,126,The woman learned about bonsai use in their city.,The woman learned about mosque use in their city.,5,P/Neu,4,bonsai,.,.,mosque,Was the woman unaware of the substance use in their city?,,,,,,,,,,,,,,
127,127,She was aware of the nearby recession but she didn't mention it to anyone.,She was aware of the nearby precipice but she didn't mention it to anyone.,7,N/Neu,4,.,recession,.,precipice,Did she talk about the nearby event that she was aware of?,,,,,,,,,,,,,,
128,128,Their advertisement offered information on ways to change voltage for a lay audience.,Their advertisement offered information on ways to change texture for a lay audience.,9,UnNeu/Neu,4,.,.,voltage,texture,Was the advertisement aimed at experts rather than a lay audience?,,,,,,,,,,,,,,
129,129,Lauren showed us her impressive wormwood picture collection in her office.,Lauren showed us her impressive wormwood picture collection in her office.,6,Neu/Neu,4,.,.,.,wormwood,Did Lauren have a modest collection of pictures in her office?,,,,,,,,,,,,,,
130,130,The trunk held another charm that the woman would need to care for.,The trunk held another fryer that the woman would need to care for.,5,P/Neu,4,charm,.,.,fryer,Was the trunk empty and not requiring the woman's care?,,,,,,,,,,,,,,
131,131,The documentary maker was learning about bunion construction for the film.,The documentary maker was learning about urchin construction for the film.,7,N/Neu,4,.,bunion,.,urchin,Was the documentary maker unfamiliar with construction techniques for the film?,,,,,,,,,,,,,,
132,132,The woman asked whether their triad experience was ever an issue.,The woman asked whether their hooky experience was ever an issue.,6,UnNeu/Neu,4,.,.,triad,hooky,Was their extensive experience never a problem?,,,,,,,,,,,,,,
133,133,The scientist drew conclusions about the unusual specimen and shared them with others.,The scientist drew conclusions about the unusual specimen and shared them with others.,8,Neu/Neu,4,.,.,.,specimen,Did the scientist keep his conclusions about the unusual finding to himself?,,,,,,,,,,,,,,
134,134,The film was centered around a certain bathtub and was shot in the 1900s.,The film was centered around a certain pursuit and was shot in the 1900s.,8,P/Neu,4,bathtub,.,.,pursuit,"Was the film shot recently, not in the 1900s?",,,,,,,,,,,,,,
135,135,People have differing opinions about asthma function these days.,People have differing opinions about piston function these days.,6,N/Neu,4,.,asthma,.,piston,Do people unanimously agree on the function of the subject in question?,,,,,,,,,,,,,,
136,136,My boss keeps telling me we don't need another dustpan to be successful.,My boss keeps telling me we don't need another brigade to be successful.,1,UnNeu/Neu,4,.,.,dustpan,brigade,Is another new hire exactly what the company needs to succeed?,,,,,,,,,,,,,,
137,137,We read about quilt standards from that time period.,We read about quilt standards from that time period.,4,Neu/Neu,4,.,.,.,quilt,Were the standards from that time period irrelevant to our reading?,,,,,,,,,,,,,,
138,138,There is such variety in a certain genre type that I am excited about.,There is such variety in a certain latch type that I am excited about.,8,P/Neu,4,genre,.,.,latch,Is there little variety in the specific type that excites me?,,,,,,,,,,,,,,
139,139,That was the second annoyance I've ran into this week.,That was the second adversity I've ran into this week.,5,N/Neu,4,.,annoyance,.,adversity,Is this the first time I've encountered this phenomenon this week?,,,,,,,,,,,,,,
140,140,They read the comedy about the famous locker in high school,They read the comedy about the famous squire in high school,8,UnNeu/Neu,4,.,.,locker,squire,Was the comedy unrelated to the famous person studied in high school?,,,,,,,,,,,,,,
141,141,"The website depicted battery images, as well as relevant links.","The website depicted battery images, as well as relevant links.",4,Neu/Neu,4,.,.,.,battery,Did the website show informative images along with relevant links?,,,,,,,,,,,,,,
142,142,The inspector said the certain whale chosen was oddly dark.,The inspector said the certain briar chosen was oddly dark.,6,P/Neu,4,whale,.,.,briar,Did the inspector comment that the shade selected was surprisingly light?,,,,,,,,,,,,,,
143,143,The song he wrote was about headstone troubles and was a big hit.,The song he wrote was about temptress troubles and was a big hit.,7,N/Neu,4,.,headstone,.,temptress,Was the song he wrote about joyous troubles and well-received?,,,,,,,,,,,,,,
144,144,The book gave a detailed history about platoon use in the United States.,The book gave a detailed history about anagram use in the United States.,8,UnNeu/Neu,4,.,.,platoon,anagram,Does the book provide a comprehensive history of prohibited substance use in the United States?,,,,,,,,,,,,,,
145,145,They discussed gasoline related dynamics in the meeting.,They discussed gasoline related dynamics in the meeting.,3,Neu/Neu,4,.,.,.,gasoline,Were the meeting discussions focused on unrelated dynamics?,,,,,,,,,,,,,,
146,146,The lady would like to learn more about a certain bookshop for the study.,The lady would like to learn more about a certain airstrip for the study.,11,P/Neu,4,bookshop,.,.,airstrip,Is the lady interested in learning about an unknown subject for her study?,,,,,,,,,,,,,,
147,147,"Last week, there was a report about copycat breakdown discovered nearby.","Last week, there was a report about fissure breakdown discovered nearby.",8,N/Neu,4,.,copycat,.,fissure,Was there a report last week about a significant breakdown in the area?,,,,,,,,,,,,,,
148,148,"At the office, former castaway records were kept in a hidden case.","At the office, former ulterior records were kept in a hidden case.",5,UnNeu/Neu,4,.,.,castaway,ulterior,Were the former confidential records stored openly at the office?,,,,,,,,,,,,,,
149,149,"I was always told every charlatan will reoccur, and today I believed it.","I was always told every charlatan will reoccur, and today I believed it.",6,Neu/Neu,4,.,.,.,charlatan,Has the event I was warned about never happened until today?,,,,,,,,,,,,,,
150,150,Lauren told me that she dreamt about a certain fantasy that was life changing.,Lauren told me that she dreamt about a certain thicket that was life changing.,1,P/Neu,4,fantasy,.,.,thicket,Did Lauren dream about something mundane that changed her life?,,,,,,,,,,,,,,
151,151,The woman gave a talk to the group about landlord in training last week.,The woman gave a talk to the group about collagen in training last week.,1,N/Neu,4,.,landlord,.,collagen,Was the woman's talk about the importance of humor in training?,,,,,,,,,,,,,,
152,152,The box had a faded sign that was labeled mongoose sitting on the shelf.,The box had a faded sign that was labeled scullery sitting on the shelf.,1,UnNeu/Neu,4,.,.,mongoose,scullery,Was there a clearly labeled box left unnoticed on the shelf?,,,,,,,,,,,,,,
153,153,"Jacob noticed an uncontrolled showdown within his neighborhood, where the population was changing.","Jacob noticed an uncontrolled showdown within his neighborhood, where the population was changing.",5,Neu/Neu,4,.,.,.,showdown,Did Jacob witness a well-controlled situation in his changing neighborhood?,,,,,,,,,,,,,,
154,154,The large dog exhibited a serious gaiety which was visible from across the park.,The large dog exhibited a serious muzzle which was visible from across the park.,7,P/Neu,4,gaiety,.,.,muzzle,Did the large dog show a mild temperament that was noticeable in the park?,,,,,,,,,,,,,,
155,155,The podcast was about a scientist who had discovered another misery last year.,The podcast was about a scientist who had discovered another effect last year.,11,N/Neu,4,.,misery,.,effect,Was the podcast discussing a scientist's discovery made several years ago?,,,,,,,,,,,,,,
156,156,Emmylou said she had been given a similar jumper in the past.,Emmylou said she had been given a similar record in the past.,9,UnNeu/Neu,4,.,.,jumper,record,Has Emmylou received a similar gift in the past?,,,,,,,,,,,,,,
157,157,She said they needed landfall in order to finish the job.,She said they needed landfall in order to finish the job.,5,Neu/Neu,4,.,.,.,landfall,Did they say additional resources were unnecessary to complete the job?,,,,,,,,,,,,,,
158,158,The handlers skillfully managed their harmony all night long.,The handlers skillfully managed their solvent all night long.,6,P/Neu,4,harmony,.,.,solvent,Did the handlers struggle to manage their tasks throughout the night?,,,,,,,,,,,,,,
159,159,He listened to a podcast about the former hypocrite of the foreign country.,He listened to a podcast about the former motorcade of the foreign country.,9,N/Neu,4,.,hypocrite,.,motorcade,Was the podcast about the current leader of a foreign country?,,,,,,,,,,,,,,
160,160,The website provided investigative reporting about quart measurement for a lay audience.,The website provided investigative reporting about tulip measurement for a lay audience.,7,UnNeu/Neu,4,.,.,quart,tulip,Did the website offer entertainment news instead of investigative reporting for a specialized audience?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
